City,Cloudiness,Country,Date ,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint Anthony,1,US,1566611914,29,43.97,-111.68,77.0,9.17
Dikson,100,RU,1566611917,97,73.51,80.55,40.36,18.52
Busselton,28,AU,1566611919,51,-33.64,115.35,55.99,8.3
Rikitea,35,PF,1566611872,69,-23.12,-134.97,71.64,21.12
Kaitangata,77,NZ,1566611921,44,-46.28,169.85,57.99,11.99
Albany,40,US,1566611923,63,42.65,-73.75,66.99,6.93
Saint-Philippe,40,CA,1566611924,77,45.36,-73.48,66.2,9.53
Torbay,90,CA,1566611780,94,47.66,-52.73,69.01,20.8
Dingle,100,PH,1566611927,74,11.0,122.67,84.85,14.99
Ambulu,13,ID,1566611928,86,-8.35,113.61,73.78,14.74
Evensk,100,RU,1566611930,88,61.92,159.24,53.8,10.11
Hermanus,0,ZA,1566611931,90,-34.42,19.24,52.0,5.01
Hithadhoo,40,MV,1566611932,66,-0.6,73.08,82.86,7.23
Ponta do Sol,0,BR,1566611935,74,-20.63,-46.0,58.32,0.45
Opuwo,0,NA,1566611937,23,-18.06,13.84,52.94,7.43
Hilo,90,US,1566611939,62,19.71,-155.08,84.2,9.17
Jamestown,1,AU,1566611940,43,-33.21,138.6,61.38,16.37
Constitucion,90,MX,1566611942,63,23.99,-104.67,66.99,3.36
Bredasdorp,0,ZA,1566611922,87,-34.53,20.04,52.0,4.7
Skibbereen,90,IE,1566611944,100,51.55,-9.27,59.0,8.05
Coquimbo,20,CL,1566611947,93,-29.95,-71.34,51.8,6.93
Port Lincoln,67,AU,1566611948,69,-34.72,135.86,55.42,18.63
Carnarvon,0,ZA,1566611950,24,-30.97,22.13,55.84,7.78
Pevek,1,RU,1566611951,77,69.7,170.27,43.62,6.38
Jammalamadugu,100,IN,1566611823,69,14.85,78.38,80.01,16.11
Aklavik,75,CA,1566611954,66,68.22,-135.01,51.8,14.99
Hobart,75,AU,1566611955,45,-42.88,147.33,62.6,23.04
Lorengau,1,PG,1566611957,70,-2.02,147.27,84.39,12.39
Ushuaia,75,AR,1566611958,86,-54.81,-68.31,39.2,4.7
Tuktoyaktuk,90,CA,1566611959,87,69.44,-133.03,42.8,10.29
Kibala,20,TD,1566611961,94,9.11,18.35,75.2,2.64
Castro,90,CL,1566611962,100,-42.48,-73.76,50.0,12.75
Ekibastuz,40,KZ,1566611963,47,51.72,75.32,69.77,12.55
Avarua,0,CK,1566611881,69,-21.21,-159.78,77.0,16.11
Mount Gambier,99,AU,1566611829,71,-37.83,140.78,55.4,19.46
